1436777063888,mechanism,is,0
1436777085818,33,i2,33
1436777091053,26,i2,20
1436777097105,77,j,50
1436777123469,68,i1,58
1436777147287,93,i1,93
1436777147587,47,i1,47
1436777147734,14,i2,14
1436777148553,186,j,95
1436777148555,winner,seller,126
1436777148556,winner,i1type,0
1436777148560,winner,i2type,0
1436777207569,11,i1,10
1436777208211,9,i1,20
1436777211285,69,i2,69
1436777211690,90,i2,80
1436777212083,66,j,57
1436777248528,64,i2,60
1436777269172,7,j,7
1436777271994,67,i1,40
1436777271996,winner,seller,120
1436777271997,winner,i1type,27
1436777271999,winner,i2type,10
1436777334299,7,i2,7
1436777337334,153,j,135
1436777337421,5,i2,5
1436777342176,80,i2,20
1436777343557,111,j,111
1436777344569,7,i1,6
1436777352093,70,i1,50
1436777353989,78,i1,100
1436777353990,winner,seller,135
1436777353993,winner,jtype,18
