1436777584042,mechanism,is,0
1436777591847,77,j,70
1436777595934,33,i2,60
1436777602841,14,i2,20
1436777603881,186,j,170
1436777604297,93,i1,93
1436777605650,47,i1,46
1436777610205,26,i2,25
1436777651318,68,i1,65
1436777651319,winner,seller,170
1436777651322,winner,jtype,16
1436777699423,66,j,60
1436777703442,11,i1,10
1436777703927,69,i2,60
1436777704475,64,i2,90
1436777705687,9,i1,9
1436777708564,90,i2,90
1436777708762,67,i1,66
1436777715157,7,j,6
1436777715158,winner,seller,156
1436777715167,winner,i2type,-26
1436777715168,winner,i1type,1
1436777744106,111,j,100
1436777746042,5,i2,5
1436777746340,7,i1,7
1436777749470,80,i2,80
1436777750623,7,i2,30
1436777755584,70,i1,69
1436777756338,78,i1,77
1436777762927,153,j,150
1436777762928,winner,seller,157
1436777762931,winner,i2type,0
1436777762935,winner,i1type,1
